ko,figure,gender_real
오빠가 이걸로 제품을 만드는데 주문이 밀려서요.,오빠,1
"그는 직접 만난 환자들과의 경험을 토대로 '아내를 모자로 착각한 남자', '화성의 인류학자', '소생' 등 10여 권의 책을 출간해 '의학계의 시인', '20세기 최고 임상 작가'라는 말을 듣기도 했으며 한국 독자에게도 친숙하다.",남자,1
독일 작가 AAA1의 'FFF'를 토대로 한 이 작품은 크리스마스 이브에 호두까기 인형을 선물 받은 소녀 AAA2가 꿈속에서 왕자로 변한 호두까기 인형과 함께 과자의 나라를 여행하는 줄거리다.,왕자,1
형의 아들 결혼식이라 아들 이름으로 예약 되어 있고 형이 객실 요금을 미리 결제 하려고 합니다.,형,1
"봉래궁(蓬萊宮)은 태종 이세민이 부친 이연(李淵)을 위해 만든 별장으로, 정관(貞觀) 20년(646)에 완성된 것이다.",李淵,1
입국한 뒤 아버지 차를 타고 귀가했으며 바깥 출입 없이 마스크를 착용하고 지낸 것으로 파악됐다.,아버지,1
아저씨가 알고있는 사람의 에어디시 수 중에서 가장 작은 값은 얼마인가?,아저씨,1
하지만 우리는 아저씨가 아이템을 제거하도록 할 수 없습니다.,아저씨,1
오빠의 프린터의 모델은 FFF예요.,오빠,1
즉시 매장요.에 전화했었고 매니저는 오빠가 작업하고 있는 곳과 가장 가까운 매장을 소개해 주셨어,오빠,1
오빠의 사무실은 사실 여기서 15분 거리에 있습니다.,오빠,1
"그러죠, 그리고 형의 예술에 관심을 가져주셔서 감사합니다!",형,1
그 부분은 형의 부하 직원 중에 잘 아는 직원이 있습니다.,형,1
"그 뒤 대장군과 상장군에 올라 2차 왕자의 난을 맞을 때까지도, 그가 그러한 일에 관여하였음을 보여주는 증거는 찾을 수가 없다.",왕자,1
"블랙홀이 제자리에 있을 때, 아저씨와 나의 직선 거리는 무한대가 된다.",아저씨,1
"즉, 원장은 남성의 역할을 다하였다고 항변하겠지만 결과적으로 원장은 남성의 관리와 책임의 의무를 다하지 못하였다고 볼 수 있다.",남성,1
아저씨가 편견을 경험해 본 적이 있다면 아저씨는 여성이다.,아저씨,1
">와, 이 형 진짜 하면 안 되는 말을 하네~",형,1
위치가 아저씨의 필요와 전망과 일치하기 때문입니다.,아저씨,1
"아저씨가 학생에 관하여 생각해보면, 오래 전부터 교육과 관련하여 지적되어 온, 이미 잘 알려진 딜레마가 하나 있다.",아저씨,1
"대신 AAA는 필리핀으로 돌아오자마자 아들이 선원 노동자로 유럽에 갈 수 있도록 이주 비용을 대신 내주었고, 연로한 부모님을 돌보며 아들이 송금해주는 돈과 연금에 의존해서 생활하고 있다.",아들,1
저는 BBB의 최고재무책임자인 AAA입니다. 형의 연락처는 아래에서 확인하실 수 있습니다.,형,1
내 인생에 대하여 조금 더 깊이 있게 생각해보고 싶다면 아저씨에게 이 수업을 추천한다.,아저씨,1
AAA는 특히 아버지가 음식을 거부할 때는 그가 세상을 떠났으면 좋겠다는 생각을 하기 시작했고 이제 남들이 자신이 돌보던 가족을 죽이는 것을 이해할 수도 있을 것 같다는 생각까지 한다.,아버지,1
여배우와 스캔들을 일으킨 프랑수아 올랑드 프랑스 대통령이 동거녀 발레리 트리에르바일레와 헤어지고서 '독신남 대통령'으로 새 출발을 한다.,대통령,1
"당시 퍼거슨 교수는 코로나19 양성 판정을 받은 후 2주간의 자가격리를 마친 직후였으며, 슈타츠도 남편이 코로나19 증상을 보인 것 같다고 우려하면서 또다시 퍼거슨 교수를 찾았다.",남편,1
